attorney,total_arguments_OT24,gender,repeat_attorney,total_SCOTUS_arguments,law_school,ivy,scotus_clerk,firm,SG_experience,OT24_Cases
Brian D. Schmalzbach,1,Male,0,1,University of Virginia School of Law,,Clarence Thomas,McGuireWoods LLP,0,"Gerald F. Lackey... v. Damian Stinnie, et al."
Brian H. Fletcher,1,Male,1,24,Harvard Law School,,Ruth Bader Ginsburg,"Office of the Solicitor General, U.S. DOJ",1,"Free Speech Coalition, Inc., et al. v. Ken Paxton, Attorney General of Texas (for United States, as amicus curiae)"
Caroline A. Flynn,2,Female,1,5,University of Michigan Law School,,Neil Gorsuch (can't confirm),Earthjustice,1,Patrick D. Thompson v. United States; Simon A. Soto... v. United States
Carter G. Phillips,1,Male,1,90,Northwestern University Pritzker School of Law,,Warren E. Burger,Sidley Austin LLP,1,"CC/Devas (Mauritius) Limited, et al. v. Antrix Corp. Ltd., et al."
Catherine E. Stetson,1,Female,1,4,University of Virginia School of Law,,,Hogan Lovells US LLP,0,"Smith & Wesson Brands, Inc., et al. v. Estados Unidos Mexicanos"
Charles L. McCloud,1,Male,1,3,Harvard Law School,,Sonia Sotomayor,Williams & Connolly LLP,1,"Janice Hughes Barnes... v. Roberto Felix, Jr., et al."
Chase B. Strangio,1,Male,0,1,Northwestern University Pritzker School of Law,,,American Civil Liberties Union,0,United States v. Skrimetti
Chris C. Gair,1,Male,0,1,University of Chicago Law School,,,Gair Gallo Eberhard LLP,0,Patrick D. Thompson v. United States
Christian J. Grostic,1,Male,0,1,University of Michigan Law School,,Neil Gorsuch (can't verify),Federal Public Defender's Office,0,Edgardo Esteras v. United States
Christopher E. Mills,1,Male,0,1,Harvard Law School,,Clarence Thomas,Spero Law LLC,0,"Curtrina Martin, Individually and as Parent and Next Friend of G. W., a Minor, et al. v. United States, et al. (for Court-appointed amicus curiae in support of judgment below on Question 1)"
Christopher G. Michel,1,Male,1,11,Yale Law School,,Brett Kavanaugh (while on D.C Circuit); John Roberts,"Quinn Emanuel Urquhart & Sullivan, LLP",1,Richard Eugene Glossip v. Oklahoma (for Court-appointed amicus curiae in support of judgment below)
Colin T. Roth,1,Male,0,1,New York University School of Law,,,Wisconsin Department of Justice,0,"Catholic Charities Bureau, Inc., et al. v. Wisconsin Labor & Industry Review Commission, et al."
Colleen E. Roh Sinzdak,2,Female,1,11,Harvard Law School,,John Roberts,Milbank LLP,1,"Amina Bouarfa v. Alejandro Mayorkas, Secretary of Homeland Security, et al.; NVIDIA Corporation, et al. v. E. Ohman J:or Fonder AB, et al. (for United States, as amicus curiae)"
Curtis E. Gannon,2,Male,1,33,Harvard Law School,,Antonin Scalia,"Office of the Solicitor General, U.S. DOJ",1,"Food and Drug Administration v. Wages and White Lion Investments, L.L.C., dba Triton Distribution, et al.; Catholic Charities Bureau, Inc., et al. v. Wisconsin Labor & Industry Review Commission, et al. (for United States, as amicus curiae)"
D. John Sauer,2,Male,1,4,Harvard Law School,,Antonin Scalia,Solicitor General,1,"Oklahoma Statewide Charter School Board, et al. v. Gentner Drummond, Attorney General of Oklahoma, ex rel. Oklahoma (for United States, as amicus curiae)"
David C. Frederick,1,Male,1,52,University of Texas School of Law,,Byron White,"Kellogg, Hansen, Todd, Figel & Frederick P.L.L.C.",1,"Nuclear Regulatory Commission, et al. v. Texas, et al. (for respondent Fasken Land and Minerals, Ltd.)"
Deepak Gupta,2,Male,1,8,Georgetown University Law Center,,,Gupta Wessler PLLC,1,"NVIDIA Corporation, et al. v. E. Ohman J:or Fonder AB, et al.; Laboratory Corporation of America Holdings... v. Luke Davis, et al."
Derek L. Shaffer,1,Male,1,3,Stanford Law School,,,"Quinn Emanuel Urquhart & Sullivan, LLP",0,"Free Speech Coalition, Inc., et al. v. Ken Paxton, Attorney General of Texas"
Easha Anand,1,Female,1,4,UC Berkeley,,Sonia Sotomayor,Stanford Law School (Lecturer in Law),0,"Medical Marijuana, Inc., et al. v. Douglas J. Horn"
"Edmund G. LaCour, Jr.",1,Male,1,3,Yale Law School,,,Office of the Alabama Solicitor General,0,"Nancy Williams, et al. v. Fitzgerald Washington, Alabama Secretary of Labor"
Edward D. Greim,1,Male,0,1,Harvard Law School,,,Graves Garrett LLC,0,"Louisiana v. Phillip Callais, et al.; and Press Robinson, et al. v. Phillip Callais, et al."
Edwin S. Kneedler,3,Male,1,160,University of Virginia School of Law,,,"Office of the Solicitor General, U.S. DOJ",1,"Seven County Infrastructure Coalition, et al. v. Eagle County, Colorado, et al. (for federal respondents supporting petitioners); United States v. Palestine Liberation Organization, et al.; Diamond Alternative Energy, LLC, et al. v. Environmental Protection Agency, et al. (for federal respondents)"
Elbert Lin,1,Male,0,2,Yale Law School,,Sonia Sotomayor,Hunton Andrews Kurth LLP,0,"Dewberry Group, Inc., fka Dewberry Capital Corporation v. Dewberry Engineers Inc."
Elizabeth B. Prelogar,2,Female,1,36,Harvard Law School,,Ruth Bader Ginsburg; Elena Kagan,Harvard Law School,1,"Merrick B. Garland, Attorney General, et al. v. Jennifer VanDerStok, et al.; United States v. Jonathan Skrmetti, Attorney General and Reporter for Tennessee, et al."
Ephraim McDowell,2,Male,1,5,Harvard Law School,,Elena Kagan,Cooley LLP* (As of two hours ago),1,"Advocate Christ Medical Center, et al. v. Xavier Becerra, Secretary of Health and Human Services; Pierre Yassue Nashun Riley v. Pamela Bondi, Attorney General (for respondent in support of petitioner)"
Eric C. Rassbach,1,Male,1,2,Harvard Law School,,,The Becket Fund for Religious Liberty,0,"Catholic Charities Bureau, Inc., et al. v. Wisconsin Labor & Industry Review Commission, et al."
Eric J. Feigin,2,Male,1,38,Stanford Law School,,Stephen Breyer,"Office of the Solicitor General, U.S. DOJ (can't verify)",1,"Salvatore Delligatti v. United States; Stamatios Kousisis and Alpha Painting and Construction Co., Inc. v. United States"
Eric N. Heyer,1,Male,0,1,George Washington University Law School,,,Thompson Hine LLP,0,"Food and Drug Administration v. Wages and White Lion Investments, L.L.C., dba Triton Distribution, et al."
Eric S. Baxter,1,Male,0,1,Brigham Young University,,,The Becket Fund for Religious Liberty,0,"Tamer Mahmoud, et al. v. Thomas W. Taylor, et al."
Erica L. Ross,1,Female,1,16,Stanford Law School,,Elena Kagan,"Office of the Solicitor General, U.S. DOJ",1,Commissioner of Internal Revenue v. Jennifer Zuch
Erika L. Maley,1,Female,0,1,Stanford Law School,,,Office of the Solicitor General of Virginia,1,"Gerald F. Lackey... v. Damian Stinnie, et al."
Frederick Liu,3,Male,1,17,Yale Law School,,John Roberts,"Office of the Solicitor General, U.S. DOJ",1,"City and County of San Francisco, California v. Environmental Protection Agency; Curtrina Martin, et al. v. United States, et al.; Karyn D. Stanley v. City of Sanford, Florida (for United States, as amicus curiae)"
Gerard J. Cedrone,1,Male,0,1,Harvard Law School,,Neil Gorsuch* (On 10th Circuit),"Massachusetts Office of the Attorney General
",0,"Hugo Abisai Monsalvo Velazquez v. Merrick B. Garland, Attorney General"
Gregory G. Garre,1,Male,1,50,George Washington University Law School,,William Rehnquist,Latham & Watkins LLP,1,"Oklahoma Statewide Charter School Board, et al. v. Gentner Drummond, Attorney General of Oklahoma, ex rel. Oklahoma"
Hashim M. Mooppan,1,Male,1,6,Yale Law School,,Anthony Kennedy,"Office of the Solicitor General, U.S. DOJ",1,"Robert F. Kennedy, Jr., Secretary of Health and Human Services, et al. v. Braidwood Management, Inc., et al."
J. Benjamin Aguinaga,1,Male,1,2,Louisiana State University Paul M. Hebert Law Center,,,Office of the Solicitor General of Louisiana,1,"Louisiana v. Phillip Callais, et al."
J. Matthew Rice,1,Male,0,1,UC Berkeley,,Clarence Thomas,Office of the Attorney General & Reporter for Tennessee,0,"United States v. Jonathan Skrmetti, Attorney General and Reporter for Tennessee, et al."
James A. Campbell,1,Male,1,2,University of Akron School of Law,,,Alliance Defending Freedom,0,"Oklahoma Statewide Charter School Board, et al. v. Gentner Drummond, Attorney General of Oklahoma, ex rel. Oklahoma"
Jeffrey B. Wall,1,Male,1,32,University of Chicago Law School,,Clarence Thomas,Sullivan & Cromwell LLP,1,"Diamond Alternative Energy, LLC, et al. v. Environmental Protection Agency, et al."
Jeffrey L. Fisher,1,Male,1,50,University of Michigan Law School,,,"Stanford Law School (Co-Director, Supreme Court Litigation Clinic)",0,"Stamatios Kousisis and Alpha Painting and Construction Co., Inc. v. United States"
Jeremy M. Feigenbaum,1,Male,1,3,Harvard Law School,,Elena Kagan,Office of the New Jersey Solicitor General,0,"Trump v. CASA Inc.
"
Jessica C. Conner,1,Female,0,1,University of Florida,,,Dean Ringers Morgan & Lawton PA,0,"Stanley v. City of Sanford, Florida"
John J. Bursch,1,Male,1,13,University of Minnesota Law School,,,Bursch Law PLLC* (Alliance Defending Freedom),0,"Eunice Medina... v. Planned Parenthood South Atlantic, et al."
Jonathan F. Mitchell,1,Male,1,8,University of Chicago Law School,,Antonin Scalia,Law Office of Jonathan F. Mitchell,1,"Robert F. Kennedy, Jr., Secretary of Health and Human Services, et al. v. Braidwood Management, Inc., et al."
Joseph R. Palmore,1,Male,1,12,University of Virginia School of Law,,Ruth Bader Ginsburg,Morrison & Foerster LLP,1,"McLaughlin Chiropractic Associates, Inc. v. McKesson Corporation, et al."
Joshua A. Klein,1,Male,1,2,University of Pennsylvania Carey Law School,,,"Neal, Gerber & Eisenberg LLP",0,"Diamond Alternative Energy, LLC, et al. v. Environmental Protection Agency, et al."
Joshua S. Glasgow,1,Male,0,1,Yale Law School,,,Phillips Lytle LLP,0,"Republic of Hungary, et al. v. Rosalie Simon, et al. (for United States, as amicus curiae)"
Kannon K. Shanmugam,1,Male,1,39,Harvard Law School,,Antonin Scalia,"Paul, Weiss, Rifkind, Wharton & Garrison LLP",1,"Facebook, Inc., et al. v. Amalgamated Bank, et al."
Katherine B. Wellington,1,Female,0,1,Harvard Law School,,John Roberts,Hogan Lovells US LLP,0,"Royal Canin U. S. A., Inc., et al. v. Anastasia Wullschleger, et al."
Keith Bradley,1,Male,0,1,University of Colorado Law School,,Ruth Bader Ginsberg,Squire Patton Boggs LLP,0,"Pierre Yassue Nashun Riley v. Pamela Bondi, Attorney General"
Kelsi B. Corkran,1,Female,1,5,University of Chicago Law School,,Ruth Bader Ginsburg,"Orrick, Herrington & Sutcliffe LLP",1,"Trump v. CASA Inc.
"
Kent A. Yalowitz,1,Male,1,1,Columbia Law School,,,Arnold & Porter Kaye Scholer LLP,0,Fuld v. Palestinian Liberation Organization
Kevin J. Barber,1,Male,0,1,Georgetown University Law Center,,Samuel Alito,"Office of the Solicitor General, U.S. DOJ",1,"Facebook, Inc., et al. v. Amalgamated Bank, et al. (for United States, as amicus curiae)"
Kevin K. Russell,1,Male,1,13,Yale Law School,,Stephen Breyer,"Goldstein & Russell, P.C.",1,"Facebook, Inc., et al. v. Amalgamated Bank, et al."
Kyle D. Hawkins,1,Male,1,5,University of Minnesota Law School,,Samuel Alito,Lehotsky Keller Cohn LLP,1,"Eunice Medina... v. Planned Parenthood South Atlantic, et al. (for United States, as amicus curiae)"
Lanora C. Pettit,1,Female,1,3,UVA,,,"
Deputy Assistant Attorney General, Office of Legal Counsel",1,"Janice Hughes Barnes... v. Roberto Felix, Jr., et al. (for Texas, et al., as amici curiae)"
Lauren E. Bateman,1,Female,0,1,Harvard Law School,,,"Gibson, Dunn & Crutcher LLP",0,"E.M.D. Sales, Inc., et al. v. Faustino Sanchez Carrera, et al."
Lisa S. Blatt,4,Female,1,54,UT Austin,,Ruth Bader Ginsburg* (while on D.C Circuit),Williams & Connolly LLP,1,"Medical Marijuana, Inc., et al. v. Douglas J. Horn; E.M.D. Sales, Inc., et al. v. Faustino Sanchez Carrera, et al.; United States v. David L. Miller; A. J. T., By and Through Her Parents... v. Osseo Area Schools, Independent School District No. 279, et al."
Lori Alvino McGill,1,Female,0,1,Columbia Law School,,Ruth Bader Ginsburg,Wilkinson Stekloff LLP,0,Thomas Perttu v. Kyle Brandon Richards
Malcolm L. Stewart,3,Male,1,110,Harvard Law School (can't confirm),,,"Office of the Solicitor General, U.S. DOJ",1,"Nuclear Regulatory Commission, et al. v. Texas, et al.; Environmental Protection Agency v. Calumet Shreveport Refning, L.L.C., et al.; Oklahoma, et al. v. Environmental Protection Agency, et al."
Masha G. Hansford,2,Female,1,9,Stanford Law School,,,"Office of the Solicitor General, U.S. DOJ",1,Tony R. Hewitt v. United States; and Corey Deyon Duffey and Jarvis Dupree Ross v. United States (for respondent in support of petitioners); Edgardo Esteras v. United States
Matthew D. McGill,2,Male,1,5,Stanford Law School,,John Roberts,"Gibson, Dunn & Crutcher LLP",0,"Gary Waetzig v. Halliburton Energy Services, Inc.; CC/Devas (Mauritius) Limited, et al. v. Antrix Corp. Ltd., et al."
Matthew Guarnieri,2,Male,1,13,Columbia Law School,,Ruth Bader Ginsburg (can't verify),"Office of the Solicitor General, U.S. DOJ",1,"McLaughlin Chiropractic Associates, Inc. v. McKesson Corporation, et al. (for United States, as amicus curiae); Danny Richard Rivers v. Eric Guerrero, Director, Texas Department of Criminal Justice, Correctional Institutions Division (for United States, as amicus curiae)"
Matthew W.H. Wessler,1,Male,1,5,Cornell Law School,,,Gupta Wessler PLLC,0,"McLaughlin Chiropractic Associates, Inc. v. McKesson Corporation, et al."
Melanie L. Bostwick,1,Female,1,2,Harvard Law School,,,"Orrick, Herrington & Sutcliffe LLP",0,"Joshua E. Bufkin v. Denis R. McDonough, Secretary of Veterans Affairs"
Melissa Arbus Sherry,1,Female,1,12,UVA,,John Paul Stevens,Latham & Watkins LLP,1,"Advocate Christ Medical Center, et al. v. Xavier Becerra, Secretary of Health and Human Services"
Michael B. Kimberly,1,Male,1,9,Yale Law School,,,Winston & Strawn LLP,0,Tony R. Hewitt v. United States; and Corey Deyon Duffey and Jarvis Dupree Ross v. United States.
Michael H. McGinley,3,Male,0,3,Harvard Law School,,Samuel Alito,Dechert LLP,0,"Tony R. Hewitt v. United States; and Corey Deyon Duffey and Jarvis Dupree Ross v. United States (for Court-appointed amicus curiae in support of judgment below); BLOM Bank SAL v. Michal Honickman, et al.; St. Isidore of Seville Catholic Virtual School v. Gentner Drummond, Attorney General of Oklahoma, ex rel. Oklahoma"
Michael J. Radine,1,Male,0,1,Columbia Law School,,,Osen LLC,0,"BLOM Bank SAL v. Michal Honickman, et al."
Michael R. Huston,2,Male,1,11,University of Michigan Law School,,John Roberts,Perkins Cole LLP,1,"Environmental Protection Agency v. Calumet Shreveport Refning, L.L.C., et al.; Donte Parrish v. United States (for Court-appointed amicus curiae in support of judgment below on Question 1)"
Misha Tseytlin,1,Male,1,4,Georgetown University Law Center,,Anthony Kennedy,Troutman Pepper Hamilton Sanders LLP,0,"PacifCorp, et al. v. Environmental Protection Agency, et al."
Mitchell R. Berger,1,Male,0,1,Harvard University,,,Squire Patton Boggs LLP,1,"Miriam Fuld, et al. v. Palestine Liberation Organization, et al."
Mithun Mansinghani,1,Male,1,2,Harvard Law School,,,Lehotsky Keller Cohn LLP,0,"Oklahoma, et al. v. Environmental Protection Agency, et al."
Nathaniel A.G. Zelinsky,1,Male,0,1,Yale Law School,,,Milbank LLP,0,"Janice Hughes Barnes... v. Roberto Felix, Jr., et al."
Neal Kumar Katyal,1,Male,1,52,Yale Law School,,Stephen Breyer,Hogan Lovells US LLP,1,"NVIDIA Corporation, et al. v. E. Ohman J:or Fonder AB, et al."
Nicholas S. Crown,1,Male,0,1,Yale Law School,,Sonia Sotomayor,"Office of the Solicitor General, U.S. DOJ",1,"Dewberry Group, Inc., fka Dewberry Capital Corporation v. Dewberry Engineers Inc. (for United States, as amicus curiae)"
Nicole A. Saharsky,2,Female,1,33,University of Minnesota Law School,,,Mayer Brown LLP,1,"Casey Cunningham, et al. v. Cornell University, et al.; Eunice Medina... v. Planned Parenthood South Atlantic, et al."
Nicole F. Reaves,2,Female,1,9,Yale Law School,,Clarence Thomas,"Office of the Solicitor General, U.S. DOJ",1,"Nick Feliciano v. Department of Transportation; A. J. T., By and Through Her Parents... v. Osseo Area Schools, Independent School District No. 279, et al. (for United States, as amicus curiae)"
Noel J. Francisco,2,Male,1,24,University of Chicago Law School,,Antonin Scalia,Jones Day,1,"Smith & Wesson Brands, Inc., et al. v. Estados Unidos Mexicanos; Laboratory Corporation of America Holdings... v. Luke Davis, et al."
Patrick M. Jaicomo,1,Male,1,2,University of Chicago Law School,,,Institute for Justice,0,"Curtrina Martin, Individually and as Parent and Next Friend of G. W., a Minor, et al. v. United States, et al."
Paul D. Clement,3,Male,1,116,Harvard Law School,,Antonin Scalia,Clement & Murphy PLLC,1,"Richard Eugene Glossip v. Oklahoma (for respondent in support of petitioner); Seven County Infrastructure Coalition, et al. v. Eagle County, Colorado, et al.; Federal Communications Commission, et al. v. Consumers' Research, et al. (for petitioners in 24-422)"
Peter A. Bruland,1,Male,0,1,Harvard Law School,,,Sidley Austin LLP,0,"Danny Richard Rivers v. Eric Guerrero, Director, Texas Department of Criminal Justice, Correctional Institutions Division"
Peter A. Patterson,1,Male,0,1,Stanford Law School,,,"Cooper & Kirk, PLLC",0,"Merrick B. Garland, Attorney General, et al. v. Jennifer VanDerStok, et al."
R. Trent McCotter,1,Male,0,1,University of North Carolina School of La,,,Boyden Gray & Associates PLLC,1,"Federal Communications Commission, et al. v. Consumers' Research, et al."
Roman Martinez,1,Male,1,15,Yale Law School,,John G. Roberts,Latham & Watkins LLP,1,"A. J. T., By and Through Her Parents... v. Osseo Area Schools, Independent School District No. 279, et al."
Ryan J. Watson,1,Male,0,1,George Washington University Law School,,Samuel Alito,Jones Day,0,"Food and Drug Administration, et al. v. R.J. Reynolds Vapor Co., et al."
Samir Deger-Sen,1,Male,1,2,Yale Law School,,Anthony Kennedy,Latham & Watkins LLP,0,"Amina Bouarfa v. Alejandro Mayorkas, Secretary of Homeland Security, et al."
Sarah M. Harris,3,Female,1,8,Harvard Law School,,Clarence Thomas,"Office of the Solicitor General, U.S. DOJ",1,"CC/Devas (Mauritius) Limited, et al. v. Antrix Corp. Ltd., et al. (for United States, as amicus curiae supporting petitioners); Federal Communications Commission, et al. v. Consumers' Research, et al.; Tamer Mahmoud, et al. v. Thomas W. Taylor, et al. (for United States, as amicus curiae)"
Seth P. Waxman,2,Male,1,87,Yale Law School,,,Wilmer Cutler Pickering Hale and Dorr LLP,1,"Richard Eugene Glossip v. Oklahoma; Environmental Protection Agency v. Calumet Shreveport Refning, L.L.C., et al. (for Growth Energy and Renewable Fuels Association in support of petitioner)"
Shay Dvoretzky,2,Male,1,21,Yale Law School,,Antonin Scalia,"Skadden, Arps, Slate, Meagher & Flom LLP",0,"Republic of Hungary, et al. v. Rosalie Simon, et al.; Commissioner of Internal Revenue v. Jennifer Zuch"
Sopan Joshi,3,Male,1,13,Stanford Law School,,Antonin Scalia; Samuel Alito,"Office of the Solicitor General, U.S. DOJ",1,"Joshua E. Bufkin v. Denis R. McDonough, Secretary of Veterans Affairs; Republic of Hungary, et al. v. Rosalie Simon, et al. (for United States, as amicus curiae); Laboratory Corporation of America Holdings... v. Luke Davis, et al. (for United States, as amicus curiae)"
Stephen J. Hammer,1,Male,0,1,Harvard Law School,,John Roberts,"Gibson, Dunn & Crutcher LLP",0,"Pierre Yassue Nashun Riley v. Pamela Bondi, Attorney General (for Court-appointed amicus curiae in support of the judgment below)"
Stuart C. Naifeh,1,Male,0,1,Columbia Law School,,,"NAACP Legal Defense and Educational Fund, Inc.",0,"Press Robinson, et al. v. Phillip Callais, et al."
T. Elliot Gaiser,1,Male,0,1,University of Chicago Law School,,Samuel Alito,Office of the Ohio Solicitor General,0,Marlean A. Ames v. Ohio Department of Youth Services
Tacy F. Flint,1,Female,0,1,University of Chicago Law School,,Stephen Breyer,Sidley Austin LLP,0,Simon A. Soto... v. United States
Tara M. Steeley,1,Female,0,1,UC Berkeley,,,"City Attorney's Office, San Francisco",0,"City and County of San Francisco, California v. Environmental Protection Agency"
Tejinder Singh,1,Male,1,3,Harvard Law School,,,"Goldstein & Russell, P.C.",0,"Wisconsin Bell, Inc. cv. United States, ex rel. Heath"
Thomas G. Hungar,1,Male,1,28,Yale Law School,,Anthony Kennedy,"Gibson, Dunn & Crutcher LLP",1,"Dewberry Group, Inc., fka Dewberry Capital Corporation v. Dewberry Engineers Inc."
Vincent Levy,1,Male,1,2,Columbia Law School,,Ruth Bader Ginsberg,Holwell Shuster & Goldberg LLP,0,"Gary Waetzig v. Halliburton Energy Services, Inc."
Vivek Suri,2,Male,1,11,"University of California, Berkeley, School of Law (can't verify)",,,"Office of the Solicitor General, U.S. DOJ",1,"No case number provided, but listed as ""Assistant to the Solicitor General..."" for a case ending "". Certiorari to the C. A. 7th Circuit.""; Food and Drug Administration, et al. v. R.J. Reynolds Vapor Co., et al."
William F. Cole,1,Male,0,1,University of Texas School of Law,,,Office of the Texas Solicitor General,0,"Ruben Gutierrez v. Luis Saenz, et al."
William M. Jay,1,Male,1,18,Harvard Law School,,Antonin Scalia,Goodwin Procter LLP,1,"Seven County Infrastructure Coalition, et al. v. Eagle County, Colorado, et al."
Xiao Wang,2,Male,0,2,Yale Law School,,,University of Virginia Law School,0,"Casey Cunningham, et al. v. Cornell University, et al. (for United States, as amicus curiae); Marlean A. Ames v. Ohio Department of Youth Services (for United States, as amicus curiae)"
Yaira Dubin,2,Female,1,6,Harvard Law School,,Elena Kagan,"Office of the Solicitor General, U.S. DOJ",1,"United States v. David L. Miller; Casey Cunningham, et al. v. Cornell University, et al. (for United States, as amicus curiae)"
Zoe A. Jacoby,1,Female,0,1,Yale Law School,,Brett Kavanaugh,"Office of the Solicitor General, U.S. DOJ",1,"Janice Hughes Barnes... v. Roberto Felix, Jr., et al. (for United States, as amicus curiae)"
