"Case","Argued","Petitioner Counsel","Respondent Counsel","Arguing Amici","Lower Court","Cert Stage Amici","Merits Stage Amici","Sitting"
"MACQUAIRE INFRASTRUCTURE CORP. V. MOAB PARTNERS, L.P.","01/16/2024","Linda T. Coberly","David C. Frederick","Ephraim McDowell","CA2",2,9,"January"
"DEVILLIER V. TEXAS","01/16/2024","Robert J. McNamara","Aaron L. Nielson","Edwin S. Kneedler","CA5",2,12,"January"
"RELENTLESS, INC. V. DEPT. OF COMMERCE","01/17/2024","Roman Martinez","Elizabeth B. Prelogar","","CA1",2,11,"January"
"LOPER BRIGHT ENTERPRISES, INC. RAIMONDO, SEC. OF COMMERCE","01/17/2024","Paul D. Clement","Elizabeth B. Prelogar","","CADC",8,62,"January"
"TRUMP V. ANDERSON","02/09/2024","Jonathan F. Mitchell","Jason C. Murray (Anderson) & Shannon W. Stevenson (Griswold)","","SCCO",1,76,"February"
"CORNER POST, INC. V. BD. OF GOVERNORS, FRS","02/20/2024","Bryan Weir","Benjamin Snyder","","CA8",3,12,"February"
"BISSONNETTE V. LEPAGE BAKERIES PARK ST., LLC","02/20/2024","Jennifer Bennett","Traci Lovett","","CA2",0,14,"February"
"OHIO V. EPA | KINDER MORGAN, INC. V. EP | AMERICAN FOREST & PAPER ASSN. V. EPA | U.S. STEEL CORP. V. EPA (Consolidated)","02/21/2024","Mathura Sridharan (State App.) & Catherine Stetson (Industry App.)","Malcolm Stewart (Federal Resp.) & Judith Vale (State Resp.)","","CADC",1,0,"February"
"WARNER CHAPPELL MUSIC, INC. V. NEALY","02/21/2024","Kannon Shanmugam","Joe Wesley","Yaira Dubin","CA11",3,12,"February"
"MOODY V. NETCHOICE (Linked w/ Paxton)","02/26/2024","Henry Whitaker","Paul Clement","Elizabeth Prelogar","CA11",7,76,"February"
"NETCHOICE V. PAXTON","02/26/2024","Paul Clement","Aaron Nielson","Elizabeth Prelogar","CA5",1,80,"February"
"McINTOSH V. UNITED STATES","02/27/2024","Steven Yurowitz","Mattherw Guarnieri","","CA2",0,2,"February"
"CANTERO V. BANK OF AMERICA, N.A.","02/27/2024","Jonathan Taylor","Lisa Blatt","Malcolm Stewart","CA2",1,13,"February"
"GARLAND ATT'Y GEN. V. CARGILL","02/28/2024","Brian Fletcher","Jonathan Mitchell","","CA5",1,20,"February"
"COINBASE, INC. V. SUSKI","02/28/2024","Jessica Ellsworth","David Harris","","CA9",0,6,"February"
"MURTHY v. MISSOURI","03/18/2024","Brian Fletcher","J. Benjamin Aguinaga","","CA5",5,44,"March"
"NRA v. VULLO","03/18/2024","David Cole","Neal Katyal","Ephraim McDowell","CA2",7,32,"March"
"GUADALUPE DIAZ v. UNITED STATES","03/19/2024","Jeffrey Fisher","Matthew Guarnieri","","CA9",0,3,"March"
"TRUCK INSURANCE EXCHANGE v. KAISER GYPSUM CO.","03/19/2024","Allyson Ho","C. Kevin Marshall (Debtor) & David Frederick (Claimant)","Anthony Yang","CA4",1,7,"March"
"GONZALEZ v. TREVINO","03/20/2024","Anya Bidwell","Lisa Blatt","Nicole Reaves","CA5",7,16,"March"
"TEXAS v. NEW MEXICO & COLORADO","03/20/2024","Frederick Lui","Lanora Pettit (Texas) & Jeffrey Wechsler (New Mexico)","","Orig.",0,7,"March"
"BECERRA v. SAN CARLOS APACHE TRIBE (Con. w/ 23-253)","03/25/2024","Carolyn Flynn","Adam Unikowsky (23-253) & Lloyd Miller (23-250)","Lloyd Miller (23-250)","CA9 & CA10",0,4,"March"
"HARROW v. DOD","03/25/2024","Joshua Davis","Aimee w. Brown","","CAFC",0,5,"March"
"FDA v. ALLIANCE FOR HIPPOCRATIC MEDICINE (Con. w/ 23-236)","03/26/2024","Elizabeth Prelogar (Federal) & Jessica Ellsworth (Danco)","Erin Hawley","","CA5",14,74,"March"
"ERLINGER v. UNITED STATES","03/27/2024","Jeffrey Fisher","Eric Feigin (Resp. Supporting Petitioner)","D. Nick Harper","CA7",0,3,"March"
"THOMAS A. CONNELLY v. UNITED STATES","03/27/2024","Kannon Shanmugam","Yaira Dubin","","CA8",0,3,"March"
"Snyder v. United States","04/15/2024","Lisa S. Blatt","Colleen R. Sindzak","","CA7",2,7,"April"
"Chiaverini v. City of Napoleon, Ohio","04/15/2024","Easha Anand","Vivek Suri","Megan M. Wold","CA6",1,8,"April"
"Fischer v. United States","04/16/2024","Jeffrey T. Green","Elizabeth B. Prelogar","","CADC",1,11,"April"
"Thornell v. Jones","04/17/2024","Jason D. Lewis","Jean-Claude Andre","","CA9",0,4,"April"
"City of Grants Pass, Oregon v. Johnson","04/22/2024","Thomas D. Evangelis","Edwin S. Kneedler","Kelsi B. Corkran","CA9",25,84,"April"
"Smith v. Spizzirri","04/22/2024","Daniel L. Geyser","E. Joshua Rosenkranz","","CA9",0,3,"April"
"Department of State v. Munoz","04/23/2024","Curtis E. Gannon","Eric T. Lee","","CA9",0,16,"April"
"Starbucks Corp. v. McKinney","04/23/2024","Lisa S. Blatt","Austin Raynor","","CA6",3,13,"April"
"Moyle v. United States","04/24/2024","Joshua N. Turner","Elizabeth B. Prelogar","","CA9",0,45,"April"
"Trump v. United States","04/25/2024","D. John Sauer","Michael R. Dreeben","","CADC",8,36,"April"
